Contrastive loss: 0.1209309920668602 | Regression loss: 0.9957840442657471
Contrastive loss: 0.28515625 | Regression loss: 0.4593586027622223
Contrastive loss: 0.2347819060087204 | Regression loss: 1.4722126722335815
Contrastive loss: 0.3665364682674408 | Regression loss: 1.275162696838379
Contrastive loss: 0.3642171323299408 | Regression loss: 1.2521201372146606
Contrastive loss: 0.2292887419462204 | Regression loss: 1.6482765674591064
Contrastive loss: 0.2608642578125 | Regression loss: 1.0894687175750732
Contrastive loss: 0.0421142578125 | Regression loss: 0.49718964099884033
Contrastive loss: 0.1894938200712204 | Regression loss: 1.132812738418579
Contrastive loss: 0.2192789763212204 | Regression loss: 1.8788117170333862
Contrastive loss: 0.3439534604549408 | Regression loss: 1.937817096710205
Contrastive loss: 0.3243408203125 | Regression loss: 0.9108258485794067
Contrastive loss: 0.225341796875 | Regression loss: 0.6253812313079834
Contrastive loss: 0.269775390625 | Regression loss: 1.0194716453552246
Contrastive loss: 0.2342122495174408 | Regression loss: 0.8704105019569397
Contrastive loss: 0.2579752802848816 | Regression loss: 1.7145987749099731
Contrastive loss: 0.2066243588924408 | Regression loss: 1.3912289142608643
Contrastive loss: 0.0928955078125 | Regression loss: 0.7907447218894958
Contrastive loss: 0.34423828125 | Regression loss: 1.396344780921936
Contrastive loss: 0.1088053435087204 | Regression loss: 0.6620171070098877
Contrastive loss: 0.1582438200712204 | Regression loss: 0.9309927821159363
Contrastive loss: 0.1903890073299408 | Regression loss: 0.6078175902366638
Contrastive loss: 0.1615397185087204 | Regression loss: 1.8371835947036743
Contrastive loss: 0.1357015073299408 | Regression loss: 0.7251423001289368
Contrastive loss: 0.2417399138212204 | Regression loss: 0.8801122307777405
Contrastive loss: 0.4089762568473816 | Regression loss: 1.6790701150894165
Contrastive loss: 0.2029215544462204 | Regression loss: 0.8773322105407715
Contrastive loss: 0.2234700620174408 | Regression loss: 0.8099912405014038
Contrastive loss: 0.2408040463924408 | Regression loss: 1.1701242923736572
Contrastive loss: 0.3484700620174408 | Regression loss: 1.3311128616333008
Contrastive loss: 0.3762614130973816 | Regression loss: 1.1678473949432373
Contrastive loss: 0.3137614130973816 | Regression loss: 0.9145470857620239
Contrastive loss: 0.2661539912223816 | Regression loss: 1.7530932426452637
Contrastive loss: 0.0607096366584301 | Regression loss: 1.2502455711364746
Contrastive loss: 0.1835123747587204 | Regression loss: 1.1171809434890747
Contrastive loss: 0.1070963591337204 | Regression loss: 1.9132914543151855
Contrastive loss: 0.0958658903837204 | Regression loss: 1.0468661785125732
Contrastive loss: 0.2151285856962204 | Regression loss: 1.9726988077163696
Contrastive loss: 0.1253662109375 | Regression loss: 1.1174917221069336
Contrastive loss: 0.41015625 | Regression loss: 2.134392261505127
Contrastive loss: 0.1834309995174408 | Regression loss: 0.914989709854126
Contrastive loss: 0.159912109375 | Regression loss: 0.8032231330871582
Contrastive loss: 0.1496175229549408 | Regression loss: 1.5547926425933838
Contrastive loss: 0.1410726010799408 | Regression loss: 1.5812034606933594
Contrastive loss: 0.2798665463924408 | Regression loss: 1.3142154216766357
Contrastive loss: 0.0743408203125 | Regression loss: 1.6435661315917969
Contrastive loss: 0.1336669921875 | Regression loss: 1.0799705982208252
Contrastive loss: 0.1571451872587204 | Regression loss: 0.32176196575164795
Contrastive loss: 0.1147054061293602 | Regression loss: 2.0004961490631104
Contrastive loss: 0.1695149838924408 | Regression loss: 0.5892022848129272
Contrastive loss: 0.1702067106962204 | Regression loss: 0.9892112016677856
Contrastive loss: 0.1449788510799408 | Regression loss: 1.152852177619934
Contrastive loss: 0.203857421875 | Regression loss: 0.769562840461731
Contrastive loss: 0.2839762568473816 | Regression loss: 1.1025562286376953
Contrastive loss: 0.012939453125 | Regression loss: 1.772653579711914
Contrastive loss: 0.1255289763212204 | Regression loss: 1.4109277725219727
Contrastive loss: 0.1932373046875 | Regression loss: 1.186521291732788
Contrastive loss: 0.4152425229549408 | Regression loss: 1.3559637069702148
Contrastive loss: 0.1920572966337204 | Regression loss: 1.4000945091247559
Contrastive loss: 0.2319742888212204 | Regression loss: 1.165662169456482
Contrastive loss: 0.1276448667049408 | Regression loss: 1.151657223701477
Contrastive loss: 0.1648356169462204 | Regression loss: 0.7992634773254395
Contrastive loss: 0.186279296875 | Regression loss: 1.0760475397109985
Contrastive loss: 0.072265625 | Regression loss: 0.8298925757408142
Contrastive loss: 0.1792806088924408 | Regression loss: 0.6072495579719543
Contrastive loss: 0.1977132260799408 | Regression loss: 2.6198883056640625
Contrastive loss: 0.1636149138212204 | Regression loss: 0.5555784702301025
Contrastive loss: 0.00537109375 | Regression loss: 1.5461043119430542
Contrastive loss: 0.2453206479549408 | Regression loss: 1.0480735301971436
Contrastive loss: 0.2706298828125 | Regression loss: 1.1552084684371948
Contrastive loss: 0.1471761167049408 | Regression loss: 1.2318826913833618
Contrastive loss: 0.3062744140625 | Regression loss: 1.525618314743042
Contrastive loss: 0.1741943359375 | Regression loss: 2.337204694747925
Contrastive loss: 0.1138509139418602 | Regression loss: 0.511819064617157
Contrastive loss: 0.0808512419462204 | Regression loss: 1.064255714416504
Contrastive loss: 0.3475341796875 | Regression loss: 1.2206693887710571
Contrastive loss: 0.1298421323299408 | Regression loss: 0.8866952061653137
Contrastive loss: 0.1491292417049408 | Regression loss: 1.731449842453003
Contrastive loss: 0.220458984375 | Regression loss: 1.4988969564437866
Contrastive loss: 0.0 | Regression loss: 1.7596862316131592
Contrastive loss: 0.1807047575712204 | Regression loss: 0.9907939434051514
Contrastive loss: 0.2442220151424408 | Regression loss: 1.4324373006820679
Contrastive loss: 0.4350179135799408 | Regression loss: 0.5710216760635376
Contrastive loss: 0.0938313826918602 | Regression loss: 0.8569437265396118
Contrastive loss: 0.1534423828125 | Regression loss: 1.5881187915802002
Contrastive loss: 0.1840006560087204 | Regression loss: 1.049792766571045
Contrastive loss: 0.2392171323299408 | Regression loss: 0.9641130566596985
Contrastive loss: 0.2412516325712204 | Regression loss: 0.6956210732460022
Contrastive loss: 0.1400960385799408 | Regression loss: 1.0757306814193726
Contrastive loss: 0.1520182341337204 | Regression loss: 0.8257921934127808
Contrastive loss: 0.1109212264418602 | Regression loss: 1.9263412952423096
Contrastive loss: 0.1672770231962204 | Regression loss: 1.43312406539917
Contrastive loss: 0.3336181640625 | Regression loss: 1.1309123039245605
Contrastive loss: 0.135986328125 | Regression loss: 1.416933536529541
Contrastive loss: 0.1513671875 | Regression loss: 1.472886562347412
Contrastive loss: 0.2270914763212204 | Regression loss: 1.1684104204177856
Contrastive loss: 0.1106770858168602 | Regression loss: 1.0702232122421265
Contrastive loss: 0.1434733122587204 | Regression loss: 2.775348663330078
Contrastive loss: 0.1350911557674408 | Regression loss: 1.7510185241699219
Contrastive loss: 0.2657470703125 | Regression loss: 0.9741297364234924
Contrastive loss: 0.210693359375 | Regression loss: 0.877030611038208
Contrastive loss: 0.15234375 | Regression loss: 2.181666851043701
Contrastive loss: 0.3651123046875 | Regression loss: 1.0270483493804932
Contrastive loss: 0.1647542417049408 | Regression loss: 0.5118550062179565
Contrastive loss: 0.4040120542049408 | Regression loss: 0.4764062762260437
Contrastive loss: 0.1123860701918602 | Regression loss: 0.9911932945251465
Contrastive loss: 0.2174072265625 | Regression loss: 0.939260721206665
Contrastive loss: 0.1290690153837204 | Regression loss: 0.7311819195747375
Contrastive loss: 0.3277587890625 | Regression loss: 0.8720299005508423
Contrastive loss: 0.1225992888212204 | Regression loss: 0.6171160936355591
Contrastive loss: 0.2099202573299408 | Regression loss: 1.040903091430664
Contrastive loss: 0.1352946013212204 | Regression loss: 1.881531834602356
Contrastive loss: 0.1991780698299408 | Regression loss: 1.8070034980773926
Contrastive loss: 0.294677734375 | Regression loss: 1.140760898590088
