lr,G_steps,D_steps,S_steps,n_true_events,gen_chi2_stat,gen_p_value,random_chi2_stat,random_p_value,gen_emd,random_emd,G_error
0.01,1,1,1,1024,27.45211181621066,0.9999999936379325,22.31065403132619,0.9999999999412815,0.14668439236430886,0.16738868250512717,132.91462739700285
0.01,1,1,1,1024,27.45211181621066,0.9999999936379325,22.31065403132619,0.9999999999412815,0.14668439236430886,0.16738868250512717,132.91462739700285
0.01,1,1,1,2048,34.51274995474909,0.9999979852258158,28.811585276303703,0.999994623275318,0.1861250512888167,0.2041951496858662,141.49197569856875
0.01,1,1,1,10240,23.707581925353683,0.9999999998900548,30.119320390181596,0.999996359494919,0.24655632285904738,0.23322808391621638,140.1881853818575
0.01,1,1,5,1024,27.050637844812464,0.9999999957168243,25.247802809523634,0.9999999969191119,0.15687417924858862,0.18366246262499883,137.36317524977395
0.01,1,1,5,2048,29.145863453076963,0.9999999691629076,21.16461072572963,0.999999999560551,0.13776671880700841,0.18981649516082721,141.16602651308796
0.01,1,1,5,10240,34.9302329920197,0.9999973326417433,30.75644081225094,0.9999923643451774,0.267953956747281,0.26007132222336543,141.09309942500207
0.01,1,1,10,1024,22.89543348718834,0.9999999999596229,23.540582331625743,0.9999999994400833,0.21042097486049494,0.23582424114938172,139.83098607890096
0.01,1,1,10,2048,31.905522859828494,0.9999996954009878,26.897059606612316,0.9999999771240101,0.19184819010699886,0.23296291433303842,139.87523660164277
0.01,1,1,10,10240,24.40468653467739,0.9999999997497756,26.206927044511833,0.9999999973151206,0.22300353634733847,0.255712302844087,141.33608158715128
0.01,1,5,1,1024,24.707458477216683,0.999999999645999,25.19721171804643,0.999999998034799,0.22047049434119406,0.24058668992429566,141.77457690738981
0.01,1,5,1,2048,33.10411600063438,0.9999992515904708,28.504907862271523,0.9999999381718835,0.1773391970153641,0.18235559608721105,140.7645146136045
0.01,1,5,5,1024,25.566442605427213,0.9999999990826307,23.861708186290056,0.9999999996313657,0.15802127934066942,0.22986418888213175,142.47869639044404
